id;nombreProducto;marca;categoria;especie;tamañoMascota;formato;sabor;precio;Extra;img;img2
7804675350070;Poema 12 Kg - Cachorro/Razas pequeñas y medianas;Poema;alimento;Perro;cachorro;12;Pollo y Arroz;57990;;7804675350070;7804675350070f
7804675350063;Poema 12 Kg - Cachorro/Razas pequeñas y medianas;Poema;alimento;Perro;cachorro;12;Salmón y Arroz;57990;Hipoalergénico;7804675350063;78046753500632
7804675350094;Poema 12Kg - Adulto/Razas pequeñas y medianas;Poema;alimento;Perro;adulto;12;Pollo y Arroz;57990;;7804675350094;78046753500942
7804675350087;Poema 12 Kg - Adulto/Razas pequeñas y medianas;Poema;alimento;Perro;adulto;12;Salmón y Arroz;57990;Hipoalergénico;7804675350087;78046753500872
7804675350117;Poema 12Kg - Senior/Razas pequeñas y medianas ;Poema;alimento;Perro;senior;12;Pollo y arroz;57990;;7804675350117;78046753501172
7804675350100;Poema 12Kg - Senior/Razas pequeñas y medianas;Poema;alimento;Perro;senior;12;Salmón y Arroz;57990;Hipoalergénico;7804675350100;78046753501002
7804675350186;Poema Patagónico 12 Kg - Todas las Edades;Poema;alimento;Perro;todas edades;12;Pollo, Salmón y Krill;47990;;7804675350186;
7804675350131;Poema Patagónico 20 Kg - Todas las Edades;Poema;alimento;Perro;todas edades;20;Pollo, Salmón y Krill;67990;;7804675350131;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
